Protein	Genome
14_0903_12_40cm_200_scaffold_175_24	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_30cm_scaffold_909856_7	14_0903_13_30cm_Bacteria_4853_55_13
14_0903_13_40cm_scaffold_7110_16	14_0903_13_40cm_Bacteria_1416_54_6
14_0903_09_20cm_scaffold_739_2	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_30cm_scaffold_40316_3	14_1009_16_30cm_Bacteria_9925_71_5
14_0903_09_20cm_scaffold_502_2	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_242008_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_12_40cm_200_scaffold_2662_3	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_20cm_scaffold_6288_19	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_12_40cm_200_scaffold_335_9	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_6_26	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_30cm_scaffold_1425094_3	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0929_05_40cm_scaffold_122_51	14_0929_05_40cm_Bacteria_3448_68_17
14_0903_13_30cm_scaffold_4328311_3	14_0903_13_30cm_Deltaproteobacteria_5016_55_6
14_0903_13_30cm_scaffold_2789747_19	14_0903_13_30cm_Bacteria_4853_55_13
14_0903_16_40cm_scaffold_34599_2	14_0903_16_40cm_Bacteria_5672_60_9
14_0919_02_20cm_scaffold_2057_3	14_0919_02_20cm_Bacteria_5904_68_7
14_1009_05_40cm_scaffold_165_7	14_1009_05_40cm_Acidobacteria_4335_57_12
14_0903_09_20cm_scaffold_1004_2	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_2789747_8	14_0903_13_30cm_Bacteria_4853_55_13
14_1009_13_20cm_scaffold_3471_7	14_1009_13_20cm_Rokubacteria_8968_70_11
14_1009_16_40cm_scaffold_21416_5	14_1009_16_40cm_Verrucomicrobia_10135_59_6
14_0919_12_20cm_scaffold_14270_2	14_0919_12_20cm_Bacteria_1758_59_7
14_0903_13_30cm_scaffold_6018372_3	14_0903_13_30cm_Verrucomicrobia_4807_59_6
14_1009_12_40cm_scaffold_19904_2	14_1009_12_40cm_Acidobacteria_8689_60_7
14_0903_09_30cm_scaffold_1957_4	14_0903_09_30cm_Bacteria_688_55_7
14_0903_09_20cm_scaffold_492_3	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_624_2	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_05_20cm_scaffold_35_20	14_0929_05_20cm_Acidobacteria_2978_54_10
14_1009_16_40cm_scaffold_151724_4	14_1009_16_40cm_Verrucomicrobia_10135_59_6
14_0929_05_30cm_scaffold_1077_3	14_0929_05_30cm_Bacteria_3252_59_8
14_0903_16_40cm_scaffold_2028_10	14_0903_16_40cm_Bacteria_5660_68_9
14_0919_02_20cm_scaffold_3937_2	14_0919_02_20cm_Rokubacteria_5893_69_7
14_0919_09_20cm_scaffold_81_64	14_0919_09_20cm_Bacteria_1670_60_14
14_1009_16_30cm_scaffold_24549_5	14_1009_16_30cm_Bacteria_9687_70_5
14_0929_09_20cm_scaffold_11_7	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_13_30cm_scaffold_685404_122	14_0903_13_30cm_Bacteria_4817_57_14
14_0927_12_20cm_scaffold_7751_3	14_0927_12_20cm_Verrucomicrobia_10548_59_7
14_0903_12_30cm_scaffold_5255_11	14_0903_12_30cm_Bacteria_1108_73_5
14_0929_09_20cm_scaffold_198_16	14_0929_09_20cm_Acidobacteria_6741_56_8
14_0903_13_30cm_scaffold_1444369_13	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0929_05_20cm_scaffold_203_7	14_0929_05_20cm_Acidobacteria_2978_54_10
14_0903_12_30cm_scaffold_6689_4	14_0903_12_30cm_Bacteria_1108_73_5
14_0929_09_20cm_scaffold_7_56	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_45941_7	14_1009_16_40cm_Acidobacteria_10325_64_5
14_0903_09_20cm_scaffold_859_6	14_0903_09_20cm_Bacteria_634_55_9
14_1009_02_30cm_scaffold_7825_2	14_1009_02_30cm_Betaproteobacteria_3702_66_13
14_0927_02_20cm_scaffold_4371_2	14_0927_02_20cm_Betaproteobacteria_1910_66_14
14_1009_12_20cm_scaffold_62054_3	14_1009_12_20cm_Ktedonobacter_racemifer_10581_54_6
14_0903_13_30cm_scaffold_13606811_12	14_0903_13_30cm_Bacteria_4853_55_13
14_0903_13_40cm_scaffold_21648_2	14_0903_13_40cm_Bacteria_1416_54_6
14_0903_12_20cm_scaffold_28454_2	14_0903_12_20cm_Bacteria_10610_64_6
14_0929_09_20cm_scaffold_13_70	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_09_30cm_scaffold_1932_5	14_1009_09_30cm_Bacteria_7984_68_14
14_0903_12_40cm_200_scaffold_3165_1	14_0903_12_40cm_Bacteria_10609_55_11
14_0919_09_20cm_scaffold_432_1	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_05_20cm_scaffold_29326_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_12_30cm_scaffold_8382_5	14_1009_12_30cm_Acidobacteria_8525_55_6
14_0903_09_20cm_scaffold_49_22	14_0903_09_20cm_Bacteria_634_55_9
14_1009_09_30cm_scaffold_14512_4	14_1009_09_30cm_Bacteria_7973_55_6
14_0903_13_30cm_scaffold_7440644_5	14_0903_13_30cm_Bacteria_4832_68_9
14_0903_05_20cm_scaffold_28484_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_05_40cm_scaffold_165_6	14_1009_05_40cm_Acidobacteria_4335_57_12
14_0927_12_40cm_scaffold_967_12	14_0927_12_40cm_Acidobacteria_6535_59_9
14_1009_02_30cm_scaffold_661_14	14_1009_02_30cm_Betaproteobacteria_3702_66_13
14_0927_02_20cm_scaffold_613_14	14_0927_02_20cm_Betaproteobacteria_1910_66_14
14_0903_12_30cm_scaffold_14220_1	14_0903_12_30cm_Bacteria_1108_73_5
14_0919_12_20cm_scaffold_852_1	14_0919_12_20cm_Acidobacteria_1789_58_8
14_1009_09_20cm_scaffold_5340_3	14_1009_09_20cm_Alphaproteobacteria_7735_64_8
14_0903_02_20cm_scaffold_382_14	14_0903_02_20cm_Betaproteobacteria_69_66_11
14_1009_16_40cm_scaffold_12032_4	14_1009_16_40cm_Deltaproteobacteria_10098_55_8
14_0927_12_40cm_scaffold_6461_6	14_0927_12_40cm_Bacteria_6538_55_7
14_0903_13_30cm_scaffold_515003_1	14_0903_13_30cm_Bacteria_4830_56_8
14_0903_09_20cm_scaffold_1354_11	14_0903_09_20cm_Acidobacteria_635_55_5
14_0903_12_20cm_scaffold_5271_1	14_0903_12_20cm_Bacteria_10610_64_6
14_0903_13_30cm_scaffold_909856_8	14_0903_13_30cm_Bacteria_4853_55_13
14_0929_09_20cm_scaffold_198_15	14_0929_09_20cm_Acidobacteria_6741_56_8
14_1009_16_30cm_scaffold_14134_6	14_1009_16_30cm_Betaproteobacteria_9678_65_7
14_0903_12_30cm_scaffold_6689_3	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_13_30cm_scaffold_9316731_17	14_0903_13_30cm_Bacteria_4968_56_13
14_0903_16_40cm_scaffold_7029_7	14_0903_16_40cm_Bacteria_5729_55_13
14_0903_13_30cm_scaffold_1137608_1	14_0903_13_30cm_Bacteria_4966_70_7
14_0903_09_20cm_scaffold_739_1	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_168102_4	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0929_09_20cm_scaffold_1077_2	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_05_20cm_scaffold_11811_4	14_1009_05_20cm_Acidobacteria_3981_65_12
14_0903_16_30cm_scaffold_2106_4	14_0903_16_30cm_Rokubacteria_5524_69_12
14_1009_16_40cm_scaffold_4728_1	14_1009_16_40cm_Actinobacteria_10239_70_8
14_0929_05_20cm_scaffold_35_19	14_0929_05_20cm_Acidobacteria_2978_54_10
14_1009_02_20cm_scaffold_194_2	14_1009_02_20cm_Acidobacteria_3609_55_5
14_0903_09_20cm_scaffold_178_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_30cm_scaffold_314_51	14_0903_12_30cm_Bacteria_1056_68_10
14_0903_13_30cm_scaffold_58791_28	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_20cm_scaffold_4307_4	14_1009_16_20cm_Acidobacteria_9472_55_5
14_1009_16_40cm_scaffold_14138_4	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_09_20cm_scaffold_787_3	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_1077_3	14_0929_09_20cm_Bacteria_6715_55_10
14_0927_12_40cm_scaffold_6461_7	14_0927_12_40cm_Bacteria_6538_55_7
14_1009_13_30cm_scaffold_12491_5	14_1009_13_30cm_Bacteria_9164_55_9
14_0903_12_30cm_scaffold_3827_1	14_0903_12_30cm_Acidobacteria_1081_55_6
14_0903_05_20cm_scaffold_6200_3	14_0903_05_20cm_Bacteria_395_69_9
14_0903_16_40cm_scaffold_7029_8	14_0903_16_40cm_Bacteria_5729_55_13
14_0903_13_30cm_scaffold_1137608_7	14_0903_13_30cm_Bacteria_4966_70_7
14_1009_09_30cm_scaffold_1932_6	14_1009_09_30cm_Bacteria_7984_68_14
14_1009_12_30cm_scaffold_8382_6	14_1009_12_30cm_Acidobacteria_8525_55_6
14_0903_09_20cm_scaffold_3711_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_02_30cm_scaffold_34065_7	14_0903_02_30cm_Bacteria_216_54_5
14_0903_05_20cm_scaffold_6200_1	14_0903_05_20cm_Bacteria_395_69_9
14_1009_16_40cm_scaffold_115336_1	14_1009_16_40cm_Acidobacteria_10325_64_5
14_0903_13_30cm_scaffold_4292240_5	14_0903_13_30cm_Bacteria_4981_58_6
14_1009_16_40cm_scaffold_14594_4	14_1009_16_40cm_Bacteria_10195_66_6
14_1009_16_30cm_scaffold_90_335	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_20cm_scaffold_21252_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_05_30cm_scaffold_3641_8	14_1009_05_30cm_Bacteria_4168_57_7
14_0903_13_30cm_scaffold_9316731_16	14_0903_13_30cm_Bacteria_4968_56_13
14_1009_16_40cm_scaffold_201652_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_12_40cm_200_scaffold_2662_2	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_40cm_scaffold_32212_4	14_1009_16_40cm_Bacteria_10276_56_6
14_0903_13_30cm_scaffold_5662352_1	14_0903_13_30cm_Bacteria_4832_68_9
14_0929_12_20cm_scaffold_15421_7	14_0929_12_20cm_Bacteria_7231_59_8
14_1009_16_40cm_scaffold_341366_2	14_1009_16_40cm_Bacteria_10197_68_6
14_1009_16_40cm_scaffold_341366_3	14_1009_16_40cm_Bacteria_10197_68_6
14_0903_05_20cm_scaffold_652_20	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_12_40cm_200_scaffold_726_1	14_0903_12_40cm_Bacteria_10609_55_11
14_0919_12_20cm_scaffold_5179_3	14_0919_12_20cm_Bacteria_1758_59_7
14_0903_12_40cm_200_scaffold_1_1	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_40cm_scaffold_36269_2	14_1009_16_40cm_Acidobacteria_10092_55_8
14_1009_16_40cm_scaffold_1969_24	14_1009_16_40cm_Bacteria_10175_68_8
14_0903_12_20cm_scaffold_29997_2	14_0903_12_20cm_Bacteria_10610_64_6
14_1009_13_30cm_scaffold_14140_6	14_1009_13_30cm_Bacteria_9108_59_8
14_1009_12_20cm_scaffold_3891_4	14_1009_12_20cm_Acidobacteria_8364_56_6
14_1009_16_40cm_scaffold_97874_2	14_1009_16_40cm_Bacteria_10195_66_6
14_0903_05_20cm_scaffold_652_11	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_20cm_scaffold_148_6	14_0903_09_20cm_Bacteria_634_55_9
14_1009_12_40cm_scaffold_5381_3	14_1009_12_40cm_Bacteria_8693_55_9
14_1009_12_30cm_scaffold_11192_1	14_1009_12_30cm_Acidobacteria_8525_55_6
14_0919_02_20cm_scaffold_431_10	14_0919_02_20cm_Bacteria_5930_55_12
14_0929_05_30cm_scaffold_121034_1	14_0929_05_30cm_Rokubacteria_3187_68_7
14_1009_09_20cm_scaffold_127_17	14_1009_09_20cm_Bacteria_7728_55_9
14_0903_12_20cm_scaffold_2730_3	14_0903_12_20cm_Bacteria_924_55_9
14_0919_09_20cm_scaffold_81_63	14_0919_09_20cm_Bacteria_1670_60_14
14_0927_09_20cm_scaffold_3080_24	14_0927_09_20cm_Bacteria_6036_55_7
14_1009_16_40cm_scaffold_69565_10	14_1009_16_40cm_Bacteria_10276_56_6
14_0919_09_20cm_scaffold_823_1	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_12_30cm_scaffold_4289_6	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_12_30cm_scaffold_4289_5	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_13_30cm_scaffold_5662352_2	14_0903_13_30cm_Bacteria_4832_68_9
14_0927_12_20cm_scaffold_9045_1	14_0927_12_20cm_Verrucomicrobia_10548_59_7
14_0919_09_20cm_scaffold_823_2	14_0919_09_20cm_Bacteria_1670_60_14
14_0927_09_20cm_scaffold_3254_2	14_0927_09_20cm_Bacteria_6103_55_7
14_0903_12_20cm_scaffold_14590_1	14_0903_12_20cm_Bacteria_10610_64_6
14_0903_02_30cm_scaffold_345_107	14_0903_02_30cm_Rickettsiella_grylli_159_36_9
14_0903_12_30cm_scaffold_13327_2	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_13_40cm_scaffold_21648_3	14_0903_13_40cm_Bacteria_1416_54_6
14_1009_16_30cm_scaffold_196_20	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_09_30cm_scaffold_387_13	14_0903_09_30cm_Bacteria_688_55_7
14_1009_09_30cm_scaffold_7304_5	14_1009_09_30cm_Ktedonobacter_racemifer_8023_53_6
14_0929_09_20cm_scaffold_44_3	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_529_3	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_8_200	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_12_20cm_scaffold_5883_5	14_1009_12_20cm_Bacteria_8391_55_8
14_1009_12_30cm_scaffold_1399_1	14_1009_12_30cm_Acidobacteria_8525_55_6
14_0903_09_30cm_scaffold_1957_5	14_0903_09_30cm_Bacteria_688_55_7
14_0903_12_30cm_scaffold_3827_4	14_0903_12_30cm_Acidobacteria_1081_55_6
14_1009_16_40cm_scaffold_36269_3	14_1009_16_40cm_Acidobacteria_10092_55_8
14_0903_09_20cm_scaffold_148_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_4292240_1	14_0903_13_30cm_Bacteria_4981_58_6
14_0929_09_20cm_scaffold_11_13	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_30cm_scaffold_189_15	14_0903_09_30cm_Bacteria_688_55_7
14_0903_13_30cm_scaffold_6397487_3	14_0903_13_30cm_Acidobacteria_4908_55_5
14_1009_09_30cm_scaffold_22265_9	14_1009_09_30cm_Deltaproteobacteria_7955_55_8
14_0903_09_20cm_scaffold_2866_3	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_30cm_scaffold_90_330	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_12_30cm_scaffold_27676_1	14_0903_12_30cm_Bacteria_1108_73_5
14_1009_16_30cm_scaffold_12725_1	14_1009_16_30cm_Bacteria_9830_55_17
14_0919_12_20cm_scaffold_7958_7	14_0919_12_20cm_Bacteria_1758_59_7
14_0929_12_30cm_scaffold_7303_2	14_0929_12_30cm_Bacteria_7476_55_10
14_0927_12_20cm_scaffold_633_34	14_0927_12_20cm_Bacteria_6339_54_8
14_0903_09_30cm_scaffold_1214_4	14_0903_09_30cm_Bacteria_688_55_7
14_0903_13_40cm_scaffold_7110_7	14_0903_13_40cm_Bacteria_1416_54_6
14_0903_13_30cm_scaffold_2789747_18	14_0903_13_30cm_Bacteria_4853_55_13
14_0903_09_20cm_scaffold_332_3	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_20cm_scaffold_584_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_05_20cm_scaffold_3991_4	14_0903_05_20cm_Bacteria_395_69_9
14_1009_02_30cm_scaffold_7825_1	14_1009_02_30cm_Betaproteobacteria_3702_66_13
14_0903_05_20cm_scaffold_762_20	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_30cm_scaffold_189_16	14_0903_09_30cm_Bacteria_688_55_7
14_0919_12_20cm_scaffold_7958_8	14_0919_12_20cm_Bacteria_1758_59_7
14_1009_12_20cm_scaffold_6754_33	14_1009_12_20cm_Acidobacteria_8403_56_5
14_1009_05_30cm_scaffold_2813_2	14_1009_05_30cm_Bacteria_4168_57_7
14_0903_12_40cm_200_scaffold_2808_4	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_30cm_scaffold_90_326	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_05_40cm_scaffold_11858_2	14_0929_05_40cm_Bacteria_3423_66_6
14_1009_12_30cm_scaffold_11192_3	14_1009_12_30cm_Acidobacteria_8525_55_6
14_0903_05_20cm_scaffold_931_21	14_0903_05_20cm_Micromonosporales_397_71_6
14_0903_13_30cm_scaffold_1500810_3	14_0903_13_30cm_Bacteria_4830_56_8
14_1009_16_40cm_scaffold_36269_5	14_1009_16_40cm_Acidobacteria_10092_55_8
14_1009_16_30cm_scaffold_72907_5	14_1009_16_30cm_Bacteria_9845_69_8
14_0903_16_40cm_scaffold_8432_1	14_0903_16_40cm_Rokubacteria_5695_68_10
14_0903_09_20cm_scaffold_302_5	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_11_31	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_13_30cm_scaffold_12491_6	14_1009_13_30cm_Bacteria_9164_55_9
14_1009_16_30cm_scaffold_72907_6	14_1009_16_30cm_Bacteria_9845_69_8
14_1009_16_40cm_scaffold_69565_9	14_1009_16_40cm_Bacteria_10276_56_6
14_1009_12_40cm_scaffold_31096_3	14_1009_12_40cm_Acidobacteria_8689_60_7
14_0903_09_20cm_scaffold_144_14	14_0903_09_20cm_Bacteria_634_55_9
14_0903_05_20cm_scaffold_28484_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_09_20cm_scaffold_31_29	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_36269_1	14_1009_16_40cm_Acidobacteria_10092_55_8
14_0903_13_30cm_scaffold_7130530_10	14_0903_13_30cm_Bacteria_4982_55_14
14_0903_05_20cm_scaffold_10520_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_0927_12_20cm_scaffold_633_33	14_0927_12_20cm_Bacteria_6339_54_8
14_1009_16_30cm_scaffold_909_6	14_1009_16_30cm_Bacteria_9859_55_10
14_0903_13_30cm_scaffold_2583133_3	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_05_20cm_scaffold_5418_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_30cm_scaffold_680_132	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_09_20cm_scaffold_509_3	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_54568_8	14_1009_16_40cm_Gemmatimonadetes_10243_71_6
14_0903_13_40cm_scaffold_7110_11	14_0903_13_40cm_Bacteria_1416_54_6
14_1009_05_20cm_scaffold_3797_6	14_1009_05_20cm_Acidobacteria_3981_65_12
14_0903_13_40cm_scaffold_21648_4	14_0903_13_40cm_Bacteria_1416_54_6
14_0903_12_30cm_scaffold_3188_1	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_09_20cm_scaffold_148_7	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_0_1	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_30cm_scaffold_26576_7	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_12_30cm_scaffold_6317_2	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_12_30cm_scaffold_6317_1	14_0903_12_30cm_Bacteria_1108_73_5
14_0927_02_40cm_scaffold_16716_6	14_0927_02_40cm_Betaproteobacteria_2090_64_10
14_1009_16_30cm_scaffold_90_317	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_13_30cm_scaffold_6397487_4	14_0903_13_30cm_Acidobacteria_4908_55_5
14_1009_16_40cm_scaffold_97874_3	14_1009_16_40cm_Bacteria_10195_66_6
14_1009_13_30cm_scaffold_12491_7	14_1009_13_30cm_Bacteria_9164_55_9
14_0903_13_30cm_scaffold_2279310_1	14_0903_13_30cm_Burkholderiales_4888_66_12
14_1009_16_40cm_scaffold_12375_6	14_1009_16_40cm_Bacteria_10089_71_7
14_0903_05_20cm_scaffold_5418_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_8848_5	14_0903_05_20cm_Micromonosporales_397_71_6
14_0929_09_20cm_scaffold_7_60	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_13_20cm_scaffold_11881_5	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_09_20cm_scaffold_492_8	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_32212_3	14_1009_16_40cm_Bacteria_10276_56_6
14_1009_05_40cm_scaffold_2512_2	14_1009_05_40cm_Gemmatimonadetes_4372_68_6
14_1009_12_40cm_scaffold_31096_4	14_1009_12_40cm_Acidobacteria_8689_60_7
14_0903_13_30cm_scaffold_1500810_4	14_0903_13_30cm_Bacteria_4830_56_8
14_0903_12_20cm_scaffold_51328_1	14_0903_12_20cm_Bacteria_10610_64_6
14_0903_13_30cm_scaffold_6018372_4	14_0903_13_30cm_Verrucomicrobia_4807_59_6
14_1009_09_30cm_scaffold_7304_6	14_1009_09_30cm_Ktedonobacter_racemifer_8023_53_6
14_1009_09_30cm_scaffold_14512_3	14_1009_09_30cm_Bacteria_7973_55_6
14_0929_12_20cm_scaffold_15421_8	14_0929_12_20cm_Bacteria_7231_59_8
14_1009_16_20cm_scaffold_6856_6	14_1009_16_20cm_Ktedonobacter_racemifer_9518_53_6
14_0903_09_20cm_scaffold_525_9	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_30cm_scaffold_1819_46	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_13_30cm_scaffold_1022820_3	14_0903_13_30cm_Gemmatimonadetes_4837_61_12
14_1009_16_30cm_scaffold_3242_11	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_09_20cm_scaffold_1354_13	14_0903_09_20cm_Acidobacteria_635_55_5
14_1009_16_30cm_scaffold_1220_46	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_09_20cm_scaffold_44_6	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_05_20cm_scaffold_29326_5	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_30cm_scaffold_1022820_2	14_0903_13_30cm_Gemmatimonadetes_4837_61_12
14_1009_16_40cm_scaffold_46679_3	14_1009_16_40cm_Bacteria_10195_66_6
14_1009_16_40cm_scaffold_24583_3	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_05_20cm_scaffold_5418_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_0927_12_20cm_scaffold_115_63	14_0927_12_20cm_Bacteria_6339_54_8
14_0903_09_20cm_scaffold_859_4	14_0903_09_20cm_Bacteria_634_55_9
14_0903_05_20cm_scaffold_14417_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_30cm_scaffold_21447_12	14_1009_16_30cm_Bacteria_9621_54_11
14_0903_05_20cm_scaffold_6200_8	14_0903_05_20cm_Bacteria_395_69_9
14_0919_09_20cm_scaffold_81_65	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_09_20cm_scaffold_49_25	14_0903_09_20cm_Bacteria_634_55_9
14_0903_16_40cm_scaffold_3900_1	14_0903_16_40cm_Rokubacteria_5695_68_10
14_1009_02_20cm_scaffold_194_1	14_1009_02_20cm_Acidobacteria_3609_55_5
14_0927_02_40cm_scaffold_16716_5	14_0927_02_40cm_Betaproteobacteria_2090_64_10
14_0903_09_20cm_scaffold_450_11	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_20cm_scaffold_302_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_05_20cm_scaffold_652_13	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_12_20cm_scaffold_8364_2	14_1009_12_20cm_Acidobacteria_8403_56_5
14_0903_12_40cm_200_scaffold_228_1	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_09_30cm_scaffold_2902_4	14_0903_09_30cm_Bacteria_688_55_7
14_1009_09_20cm_scaffold_18691_11	14_1009_09_20cm_Acidobacteria_7739_65_6
14_1009_16_40cm_scaffold_341366_1	14_1009_16_40cm_Bacteria_10197_68_6
14_0903_09_30cm_scaffold_234_1	14_0903_09_30cm_Bacteria_688_55_7
14_0903_13_20cm_scaffold_7760_2	14_0903_13_20cm_Acidobacteriales_1219_55_6
14_0929_09_20cm_scaffold_13_71	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_502_3	14_0903_09_20cm_Bacteria_634_55_9
14_0903_05_20cm_scaffold_8848_6	14_0903_05_20cm_Micromonosporales_397_71_6
14_0903_09_20cm_scaffold_502_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_153804_21	14_0903_13_30cm_Acidobacteria_5060_64_8
14_0903_09_20cm_scaffold_49_23	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_314_32	14_1009_16_40cm_Bacteria_10077_69_12
14_0929_05_30cm_scaffold_1159_20	14_0929_05_30cm_Acidobacteria_3216_65_8
14_1009_05_20cm_scaffold_7_30	14_1009_05_20cm_Acidobacteria_3981_65_12
14_0927_05_40cm_scaffold_111376_2	14_0927_05_40cm_Rokubacteria_2323_69_8
14_0927_12_20cm_scaffold_753_38	14_0927_12_20cm_Bacteria_10555_57_16
14_1009_12_40cm_scaffold_16475_5	14_1009_12_40cm_Acidobacteria_8738_65_6
14_1009_16_30cm_scaffold_121_2	14_1009_16_30cm_Bacteria_9649_66_14
14_0903_12_30cm_scaffold_2570_21	14_0903_12_30cm_Bacteria_1047_68_7
14_1009_16_30cm_scaffold_171_48	14_1009_16_30cm_Bacteria_9603_66_16
14_0927_12_40cm_scaffold_3221_28	14_0927_12_40cm_Bacteria_6509_66_7
14_0929_05_20cm_scaffold_1534_10	14_0929_05_20cm_Acidobacteria_3011_65_8
14_1009_16_30cm_scaffold_12042_13	14_1009_16_30cm_Bacteria_9613_67_9
14_0903_13_30cm_scaffold_2771746_10	14_0903_13_30cm_Bacteria_4796_57_9
14_0903_05_20cm_scaffold_3719_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_20cm_scaffold_3451_6	14_0903_13_20cm_Bacteria_1202_57_11
14_0927_09_20cm_scaffold_140_75	14_0927_09_20cm_Acidobacteria_6034_64_8
14_0929_12_20cm_scaffold_7279_10	14_0929_12_20cm_Bacteria_7231_59_8
14_1009_13_20cm_scaffold_13017_3	14_1009_13_20cm_Rokubacteria_8968_70_11
14_0903_13_30cm_scaffold_2655386_2	14_0903_13_30cm_Bacteria_4805_60_6
